generation,best_fitness,mean_fitness,fitness_std,best_completion_ratio,best_mean_response,best_energy,jobs_in_snapshot,satellites_in_snapshot,stagnation_generations,world_reset
1,0.6,0.41353938185443667,0.04008401824085672,1.0,17.8,178.0,10,10,0,0
2,0.6,0.4384496510468594,0.06663388489821585,1.0,17.8,178.0,10,10,1,0
3,0.6,0.49035393818544365,0.08463557657063572,1.0,17.8,178.0,10,10,2,0
4,0.6,0.49624613003095974,0.09942215756515614,1.0,17.8,178.0,10,10,3,0
5,0.6,0.5199152542372881,0.09605256254529573,1.0,17.8,178.0,10,10,4,0
6,0.6,0.5263559322033898,0.09706296753152999,1.0,17.8,178.0,10,10,5,0
7,0.6,0.5224125452352232,0.11083286605674572,1.0,17.8,178.0,10,10,6,0
8,0.6,0.5254735792622133,0.09432180455065796,1.0,17.8,178.0,10,10,7,0
9,0.6,0.525131845841785,0.09718004552661423,1.0,17.8,178.0,10,10,8,0
10,0.6,0.5342342799188641,0.09433549944321272,1.0,17.8,178.0,10,10,9,0
11,0.6,0.5436480362537764,0.0889533166464812,1.0,17.8,178.0,10,10,0,1
12,0.6,0.5170360246705915,0.10004258089089461,1.0,23.55,336.0,20,10,0,0
13,0.6,0.5093073047858941,0.11277620550602653,1.0,23.55,336.0,20,10,1,0
14,0.6,0.5401394729464536,0.09436080287999554,1.0,23.55,336.0,20,10,2,0
15,0.6,0.5416050664451827,0.09201270392955611,1.0,23.45,336.0,20,10,3,0
16,0.6,0.5130836209601506,0.10845184063077033,1.0,23.45,336.0,20,10,4,0
17,0.6,0.5338470159708602,0.09207173354369376,1.0,23.45,336.0,20,10,5,0
18,0.6,0.5255989072569347,0.09689287464662583,1.0,23.45,336.0,20,10,6,0
19,0.6,0.5424481647520314,0.08970974759286333,1.0,23.45,336.0,20,10,7,0
20,0.6,0.5323402913981508,0.0961531661927168,1.0,23.45,336.0,20,10,8,0
21,0.6,0.5555947043989913,0.08128691391904636,1.0,23.45,336.0,20,10,9,0
22,0.6,0.5500448304847296,0.08399258383971873,1.0,23.45,336.0,20,10,0,1
23,0.6,0.5395257775287196,0.09125219579278367,1.0,23.45,336.0,20,10,0,0
24,0.6,0.5339801064724012,0.09500581865820695,1.0,23.45,336.0,20,10,1,0
25,0.6,0.5328075091061922,0.09664230304742721,1.0,23.45,336.0,20,10,2,0
26,0.6,0.5408517924803264,0.09152591249477732,1.0,23.45,336.0,20,10,3,0
27,0.6,0.5405662048969072,0.0992758399570883,1.0,23.45,336.0,20,10,4,0
28,0.6,0.5411503362151777,0.09524534994633502,1.0,23.45,336.0,20,10,5,0
29,0.6,0.5571005154639175,0.08803914810922506,1.0,23.45,336.0,20,10,6,0
30,0.6,0.5435079854300925,0.08849390088462764,1.0,23.45,336.0,20,10,7,0
31,0.6,0.5444017932193891,0.0902350267606034,1.0,23.45,336.0,20,10,8,0
32,0.6,0.548803554427166,0.09273530062608162,1.0,23.45,336.0,20,10,9,0
33,0.6,0.5380346618018523,0.09043237921069146,1.0,23.45,336.0,20,10,0,1
34,0.6,0.5459078173157748,0.08663100408364884,1.0,23.45,336.0,20,10,0,0
35,0.6,0.546762398430933,0.08647673254973967,1.0,23.45,336.0,20,10,1,0
36,0.6,0.5411200616419165,0.08933084190865001,1.0,23.45,336.0,20,10,2,0
37,0.6,0.5508720930232558,0.08500286186570143,1.0,23.45,336.0,20,10,3,0
38,0.6,0.5529595124684785,0.08289594584004913,1.0,23.45,336.0,20,10,4,0
39,0.6,0.5540583498163323,0.08285218774743781,1.0,23.45,336.0,20,10,5,0
40,0.6,0.5393443541608294,0.09325076779034493,1.0,23.45,336.0,20,10,6,0
41,0.6,0.554192350798543,0.08258350658289168,1.0,23.45,336.0,20,10,7,0
42,0.6,0.5425749509666573,0.08952732240036554,1.0,23.45,336.0,20,10,8,0
43,0.6,0.5454903334267301,0.09132251942642224,1.0,23.45,336.0,20,10,9,0
44,0.6,0.5474700854700854,0.09103174927897834,1.0,23.45,336.0,20,10,0,1
45,0.6,0.5511312692630989,0.0845527792893468,1.0,23.45,336.0,20,10,0,0
46,0.6,0.5607242925189129,0.07782358443601861,1.0,23.45,336.0,20,10,1,0
47,0.6,0.5561312692630989,0.0768012520229952,1.0,23.45,336.0,20,10,2,0
48,0.6,0.5389843093303446,0.09192681751768494,1.0,23.45,336.0,20,10,3,0
49,0.6,0.5360114878117119,0.09684768707222222,1.0,23.45,336.0,20,10,4,0
50,0.6,0.5464037545530961,0.08928117840453029,1.0,23.45,336.0,20,10,5,0
51,0.6,0.5344921546651723,0.09252165028628292,1.0,23.45,336.0,20,10,6,0
52,0.6,0.5536200616419165,0.0841536322257743,1.0,23.45,336.0,20,10,7,0
53,0.6,0.531284673578033,0.09129435870633093,1.0,23.45,336.0,20,10,8,0
54,0.6,0.5517363983455297,0.09139081071942898,1.0,23.45,336.0,20,10,9,0
55,0.6,0.5547303166152984,0.08249008329588411,1.0,23.45,336.0,20,10,0,1
56,0.6,0.5515809750630428,0.08664803836450305,1.0,23.45,336.0,20,10,0,0
57,0.6,0.5520650042028579,0.08595756028794796,1.0,23.45,336.0,20,10,1,0
58,0.6,0.5528194172036985,0.0869179059220216,1.0,23.45,336.0,20,10,2,0
59,0.6,0.5735384615384614,0.06608145380409337,1.0,23.45,336.0,20,10,3,0
60,0.6,0.5582207901372933,0.08007280823658301,1.0,23.45,336.0,20,10,4,0
61,0.6,0.557696133370692,0.08382545834049593,1.0,23.45,336.0,20,10,5,0
62,0.6,0.5656297282151863,0.07647931132309761,1.0,23.45,336.0,20,10,6,0
63,0.6,0.5704728215186327,0.07061297946749331,1.0,23.45,336.0,20,10,7,0
64,0.6,0.566361332923833,0.08002088721127214,1.0,23.45,336.0,20,10,8,0
65,0.6,0.5565979381443299,0.08678282627536896,1.0,23.45,336.0,20,10,9,0
66,0.6,0.5586799291237113,0.09001357011126146,1.0,23.45,336.0,20,10,0,1
67,0.6,0.5643688708321658,0.07744086088472941,1.0,23.45,336.0,20,10,0,0
68,0.6,0.5754601950912523,0.0704257782971496,1.0,23.45,336.0,20,10,1,0
69,0.6,0.5604216488357457,0.08599505711523586,1.0,23.45,336.0,20,10,2,0
70,0.6,0.5760486130568786,0.06544684026981733,1.0,23.45,336.0,20,10,3,0
71,0.6,0.5603201176800224,0.082173603022134,1.0,23.45,336.0,20,10,4,0
72,0.6,0.5603593443541608,0.08064338633757814,1.0,23.45,336.0,20,10,5,0
73,0.6,0.5553327564505978,0.08946477201797574,1.0,23.45,336.0,20,10,6,0
74,0.6,0.5661803026057719,0.07699050769588853,1.0,23.45,336.0,20,10,7,0
75,0.6,0.5635156906696553,0.07945694122556839,1.0,23.45,336.0,20,10,8,0
76,0.6,0.5522269652061855,0.09449506633863851,1.0,23.45,336.0,20,10,9,0
77,0.6,0.5644953316162266,0.08064891295882946,1.0,23.45,336.0,20,10,0,1
78,0.6,0.5641688144329897,0.085335477056533,1.0,23.45,336.0,20,10,0,0
79,0.6,0.5705113636363636,0.07604745477622155,1.0,23.45,336.0,20,10,1,0
80,0.6,0.5374669603524229,0.09994925266491726,1.0,23.45,336.0,20,10,2,0
81,0.6,0.5571686746987952,0.0842670428971684,1.0,23.45,336.0,20,10,3,0
82,0.6,0.5608419725413281,0.08240626879457101,1.0,23.45,336.0,20,10,4,0
83,0.6,0.5658857772183763,0.0798895568677144,1.0,23.45,336.0,20,10,5,0
84,0.6,0.557901195720579,0.08959413571823951,1.0,23.45,336.0,20,10,6,0
85,0.6,0.5623725133090501,0.07790922391376401,1.0,23.45,336.0,20,10,7,0
86,0.6,0.5631710563182964,0.0778873064168533,1.0,23.45,336.0,20,10,8,0
87,0.6,0.5697534323339871,0.07168492698581264,1.0,23.45,336.0,20,10,9,0
88,0.6,0.5711543849817876,0.06967140135758379,1.0,23.45,336.0,20,10,0,1
89,0.6,0.5534327758121582,0.0918964333411511,1.0,23.45,336.0,20,10,0,0
90,0.6,0.5480015410479125,0.09072253286592816,1.0,23.45,336.0,20,10,1,0
91,0.6,0.5409030837004405,0.10062499173994788,1.0,23.45,336.0,20,10,2,0
92,0.6,0.5610402073409919,0.08134553207377265,1.0,23.45,336.0,20,10,3,0
93,0.6,0.5644936974789916,0.07585782783549454,1.0,23.4,336.0,20,10,4,0
94,0.6,0.5651375198728139,0.08117896088296019,1.0,23.4,336.0,20,10,5,0
